TimePercent,Intensity
2.00%,80.0509 
4.00%,80.7436 
6.00%,79.2243 
8.00%,76.1344 
10.00%,66.3208 
12.00%,58.1565 
14.00%,62.0045 
16.00%,62.6113 
18.00%,76.0521 
18.50%,76.6786 
20.50%,74.6396 
24.00%,72.25 
26.00%,70.7086 
28.00%,71.7109  
30.00%,71.6605 
32.00%,72.5516 
34.00%,67.1902 
36.00%,63.0956 
38.00%,61.593 
40.00%,63.4567 
42.00%,76.4562 
44.00%,76.6979 
46.00%,77.6025 
48.00%,76.0066 
50.00%,71.3875 
52.00%,66.5077 
54.00%,65.5767 
56.00%,73.1137  
58.00%,68.261 
60.00%,66.6376 
62.00%,64.7208 
64.00%,66.7902  
66.00%,61.3578 
68.00%,46.3209 
70.00%,48.3725 
72.00%,72.6995 
74.00%,74.8647  
76.00%,77.9339 
78.00%,77.8363 
80.00%,70.3337
82.00%,65.2087
84.00%,63.7582
86.00%,67.6682
89.50%,78.8232
91.50%,76.4771
93.50%,68.6387
95.50%,59.6772
97.50%,48.9273 
