Date,Cumulative number of suspected Ebola cases
3/10/2015 Total,7240
3/6/2015 Total,7079
3/5/2015 Total,7061
3/4/2015 Total,7032
3/2/2015 Total,7032
2/27/2015 Total,6995
2/26/2015 Total,6977
2/25/2015 Total,6928
2/23/2015 Total,6843
2/20/2015 Total,6709
2/19/2015 Total,6709
2/18/2015 Total,6593
2/17/2015 Total,6593
2/16/2015 Total,6577
2/13/2015 Total,6468
2/12/2015 Total,6407
2/11/2015 Total,6392
2/10/2015 Total,6392
2/6/2015 Total,6164
2/5/2015 Total,6156
2/4/2015 Total,6146
2/3/2015 Total,6131
2/2/2015 Total,6068
1/30/2015 Total,5939
1/29/2015 Total,5932
1/28/2015 Total,5899
1/27/2015 Total,5899
1/26/2015 Total,5793
1/23/2015 Total,5735
1/22/2015 Total,5712
1/21/2015 Total,5652
1/20/2015 Total,5652
1/19/2015 Total,5605
1/16/2015 Total,5480
1/15/2015 Total,5466
1/14/2015 Total,5424
1/13/2015 Total,5371
1/12/2015 Total,5370
1/9/2015 Total,5311
1/8/2015 Total,5233
1/7/2015 Total,5064
1/6/2015 Total,5064
1/5/2015 Total,5139
1/2/2015 Total,5021
12/31/2014 Total,4971
12/30/2014 Total,4935
12/29/2014 Total,4928
12/26/2014 Total,4795
12/24/2014 Total,4770
12/23/2014 Total,4741
12/22/2014 Total,4717
12/17/2014 Total,4651
12/15/2014 Total,4622
12/10/2014 Total,4538
12/3/2014 Total,4322
12/1/2014 Total,4265
11/26/2014 Total,3840
11/21/2014 Total,3708
11/19/2014 Total,3665
11/14/2014 Total,3488
11/12/2014 Total,3406
11/7/2014 Total,3187
11/5/2014 Total,3140
10/31/2014 Total,3772
10/29/2014 Total,4009
10/25/2014 Total,2111
10/22/2014 Total,2098
10/17/2014 Total,507
10/15/2014 Total,2704
10/10/2014 Total,1652
10/8/2014 Total,2465
10/3/2014 Total,1456
10/1/2014 Total,2142
9/26/2014 Total,1209
9/24/2014 Total,1812
9/22/2014 Total,981
9/18/2014 Total,1322
9/16/2014 Total,1069
9/12/2014 Total,969
9/8/2014 Total,922
9/5/2014 Total,768
8/29/2014 Total,757
3/11/2015 Total,7240
3/12/2015 Total,7275
3/13/2015 Total,7418
3/16/2015 Total,7445
3/17/2015 Total,7502
3/18/2015 Total,7502
3/20/2015 Total,7546
3/23/2015 Total,7602
