type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
EBOLA,Africa,2014,8,29,1739,1361,461,,
EBOLA,Africa,2014,9,24,3467,2697,1107,,
EBOLA,Africa,2014,10,22,5477,4401,2098,,
EBOLA,Africa,2014,11,21,9571,5025,3708,,
EBOLA,Africa,2014,12,22,12393,6942,4741,,
EBOLA,Africa,2015,1,23,13609,7996,5735,,
EBOLA,Africa,2015,2,23,14141,8794,6843,,
EBOLA,Africa,2015,3,24,14689,9553,7626,,
EBOLA,Africa,2015,4,22,14869,10033,8601,,
EBOLA,Africa,2015,5,25,14974,10353,9450,,
EBOLA,Africa,2015,6,23,15072,10404,9769,,
EBOLA,Africa,2015,7,24,15176,10461,9931,,
EBOLA,Africa,2015,8,25,15190,10473,10198,,
EBOLA,Africa,2015,9,22,15202,10480,10475,,
EBOLA,Africa,2015,10,20,15209,10483,10649,,
EBOLA,Africa,2015,11,24,15213,10484,10767,,
