type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
EBOLA,Europe,2014,8,29,0,0,,,
EBOLA,Europe,2014,9,24,0,0,,,
EBOLA,Europe,2014,10,22,1,0,,,
EBOLA,Europe,2014,11,21,1,0,,,
EBOLA,Europe,2014,12,22,1,0,,,
EBOLA,Europe,2015,1,23,2,0,,,
EBOLA,Europe,2015,2,23,2,0,,,
EBOLA,Europe,2015,3,24,2,0,,,
EBOLA,Europe,2015,4,22,2,0,,,
EBOLA,Europe,2015,5,25,3,0,,,
EBOLA,Europe,2015,6,23,3,0,,,
EBOLA,Europe,2015,7,24,3,0,,,
EBOLA,Europe,2015,8,25,3,0,,,
EBOLA,Europe,2015,9,22,3,0,,,
EBOLA,Europe,2015,10,20,3,0,,,
EBOLA,Europe,2015,11,24,3,0,,,
