type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
EBOLA,North America,2014,8,29,0,0,0,,
EBOLA,North America,2014,9,24,0,0,0,,
EBOLA,North America,2014,10,22,3,1,0,,
EBOLA,North America,2014,11,21,4,1,0,,
EBOLA,North America,2014,12,22,4,1,0,,
EBOLA,North America,2015,1,23,4,1,0,,
EBOLA,North America,2015,2,23,4,1,0,,
EBOLA,North America,2015,3,24,4,1,0,,
EBOLA,North America,2015,4,22,4,1,0,,
EBOLA,North America,2015,5,25,4,1,0,,
EBOLA,North America,2015,6,23,4,1,0,,
EBOLA,North America,2015,7,24,4,1,0,,
EBOLA,North America,2015,8,25,4,1,0,,
EBOLA,North America,2015,9,22,4,1,0,,
EBOLA,North America,2015,10,20,4,1,0,,
EBOLA,North America,2015,11,24,4,1,0,,
