type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
H1N1,Africa,2009,6,8,1,0,0,0,0
H1N1,Africa,2009,6,15,18,0,0,8,0
H1N1,Africa,2009,6,22,39,0,0,10,0
H1N1,Africa,2009,6,29,50,0,0,7,0
H1N1,Africa,2009,7,6,78,0,0,11,0
H1N2,Africa,2009,7,27,157,0,0,0,0
H1N3,Africa,2009,8,4,229,0,0,0,0
H1N4,Africa,2009,8,21,1469,3,0,0,0
H1N5,Africa,2009,9,4,3872,11,0,0,0
H1N6,Africa,2009,9,18,8125,40,0,0,0
H1N7,Africa,2009,10,2,8352,42,0,0,0
H1N8,Africa,2009,10,16,12456,70,0,0,0
H1N9,Africa,2009,10,30,13536,75,0,0,0
H1N10,Africa,2009,11,13,14868,103,0,0,0
H1N11,Africa,2009,11,27,15503,104,0,0,0
H1N12,Africa,2009,12,11,,109,0,0,0
