type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
H1N1,Asia,2009,5,18,17,0,,1,0
H1N1,Asia,2009,5,25,27,0,,5,0
H1N1,Asia,2009,6,1,106,0,,31,0
H1N1,Asia,2009,6,8,222,0,,46,0
H1N1,Asia,2009,6,15,541,0,,200,0
H1N1,Asia,2009,6,22,1214,0,,335,0
H1N1,Asia,2009,6,29,2261,0,,498,0
H1N1,Asia,2009,7,6,3233,0,,405,0
H1N1,Asia,2009,7,27,7358,44,,,
H1N1,Asia,2009,8,4,9858,65,,,
H1N1,Asia,2009,8,12,11432,83,,,
H1N1,Asia,2009,8,21,13172,106,,,
H1N1,Asia,2009,8,28,15771,139,,,
H1N1,Asia,2009,9,4,19462,188,,,
H1N1,Asia,2009,9,11,22387,221,,,
H1N1,Asia,2009,9,18,25339,283,,,
H1N1,Asia,2009,9,25,30293,340,,,
H1N1,Asia,2009,10,2,33594,413,,,
H1N1,Asia,2009,10,9,38038,480,,,
H1N1,Asia,2009,10,16,39522,530,,,
H1N1,Asia,2009,10,23,41513,573,,,
H1N1,Asia,2009,10,30,42901,605,,,
H1N1,Asia,2009,11,6,44147,661,,,
H1N1,Asia,2009,11,13,44661,678,,,
H1N1,Asia,2009,11,20,45844,710,,,
H1N1,Asia,2009,11,27,47059,738,,,
H1N1,Asia,2009,12,4,,766,,,
H1N1,Asia,2009,12,11,,814,,,
