type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
H1N1,Australia,2009,5,18,10,0,0,0,0
H1N1,Australia,2009,5,25,25,0,0,4,0
H1N1,Australia,2009,6,1,306,0,0,150,0
H1N1,Australia,2009,6,8,1065,0,0,178,0
H1N1,Australia,2009,6,15,7909,0,0,575,0
H1N1,Australia,2009,6,22,12694,1,0,279,1
H1N1,Australia,2009,6,29,14625,7,0,892,4
H1N1,Australia,2009,7,6,16357,13,0,877,4
H1N1,Australia,2009,7,27,21577,30,,,
H1N1,Australia,2009,8,4,26661,39,,,
H1N1,Australia,2009,8,12,28120,43,,,
H1N1,Australia,2009,8,21,27111,50,,,
H1N1,Australia,2009,8,28,34026,64,,,
H1N1,Australia,2009,9,4,63895,279,,,
H1N1,Australia,2009,9,11,69287,306,,,
H1N1,Australia,2009,9,18,76348,337,,,
H1N1,Australia,2009,9,25,85299,362,,,
H1N1,Australia,2009,10,2,96197,383,,,
H1N1,Australia,2009,10,9,109926,410,,,
H1N1,Australia,2009,10,16,118702,432,,,
H1N1,Australia,2009,10,23,122267,455,,,
H1N1,Australia,2009,10,30,129509,465,,,
H1N1,Australia,2009,11,6,138288,498,,,
H1N1,Australia,2009,11,13,149711,516,,,
H1N1,Australia,2009,11,20,166750,613,,,
H1N1,Australia,2009,11,27,176796,644,,,
H1N1,Australia,2009,12,4,,706,,,
H1N1,Australia,2009,12,11,,848,,,
