type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
H1N1,Europe,2009,5,18,131,0,0,0,0
H1N1,Europe,2009,5,25,289,0,0,12,0
H1N1,Europe,2009,6,1,463,0,0,74,0
H1N1,Europe,2009,6,8,974,0,0,233,0
H1N1,Europe,2009,6,15,1983,0,0,498,0
H1N1,Europe,2009,6,22,3498,1,0,834,0
H1N1,Europe,2009,6,29,5478,1,0,743,0
H1N1,Europe,2009,7,6,9189,4,0,103,0
H1N1,Europe,2009,7,27,16556,34,,,
H1N1,Europe,2009,8,4,26089,41,,,
H1N1,Europe,2009,8,12,32000,53,,,
H1N1,Europe,2009,8,21,32000,53,,,
H1N1,Europe,2009,8,28,42557,85,,,
H1N1,Europe,2009,9,4,46000,104,,,
H1N1,Europe,2009,9,11,49000,125,,,
H1N1,Europe,2009,9,18,52000,140,,,
H1N1,Europe,2009,9,25,53000,154,,,
H1N1,Europe,2009,10,2,56000,176,,,
H1N1,Europe,2009,10,9,59000,193,,,
H1N1,Europe,2009,10,16,61000,207,,,
H1N1,Europe,2009,10,23,63000,261,,,
H1N1,Europe,2009,10,30,64000,281,,,
H1N1,Europe,2009,11,6,78000,300,,,
H1N1,Europe,2009,11,13,78000,300,,,
H1N1,Europe,2009,11,20,79000,350,,,
H1N1,Europe,2009,11,27,154000,650,,,
H1N1,Europe,2009,12,4,,918,,,
H1N1,Europe,2009,12,11,,,,,
