type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
SARS,Europe ,2003,3,28,7,0,0,0,
SARS,Europe ,2003,4,5,9,0,0,0,
SARS,Europe ,2003,4,12,12,0,0,1,
SARS,Europe ,2003,4,19,12,0,0,0,
SARS,Europe ,2003,4,28,13,0,0,1,
SARS,Europe ,2003,5,5,13,0,0,0,
SARS,Europe ,2003,5,12,15,0,0,2,
SARS,Europe ,2003,5,19,13,0,0,0,
SARS,Europe ,2003,5,26,13,0,0,0,
SARS,Europe ,2003,6,2,14,1,0,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
