word,frequency
ebola,105
virus,97
disease,61
outbreak,58
infected,42
2014,34
symptoms,32
such,31
ebov,31
people,29
blood,29
cases,28
contact,28
those,25
days,23
first,23
outbreaks,23
transmission,23
risk,22
reported,22
cells,22
spread,21
person,21
africa,21
health,21
evd,20
between,20
cell,20
ppe,19
viral,19
death,18
primates,17
zaire,17
body,16
ebolavirus,15
fever,15
animals,15
donning,15
webm,14
bats,14
without,14
humans,14
united,14
file,14
confirmed,14
infection,14
including,14
through,13
medical,13
states,13
percent,13
protective,13
species,12
low,12
west,12
new,12
sudan,12
human,12
isolation,12
time,12
known,12
proteins,12
republic,12
bleeding,12
care,12
world,12
during,12
epidemic,12
1976,11
reston,11
found,11
fluids,11
affected,11
include,11
pain,11
2015,10
immune,10
pigs,10
used,10
believed,10
congo,10
clothing,10
organization,10
antibodies,10
cdc,10
august,10
occur,10
number,9
researchers,9
began,9
recovery,9
countries,9
put,9
equipment,9
infections,9
interferon,9
october,9
direct,9
december,9
hospital,9
treatment,9
case,9
deaths,9
one,9
due,9
occurred,9
september,9
quarantine,9
occurs,8
animal,8
two,8
although,8
guinea,8
use,8
infectious,8
leone,8
fruit,8
yambuku,8
caused,8
high,8
very,8
died,8
diagnosis,8
responsible,8
sierra,8
specific,8
2013,8
being,7
later,7
samples,7
democratic,7
dogs,7
proper,7
patients,7
dead,7
tested,7
usually,7
early,7
protein,7
many,7
identified,7
hemorrhagic,7
develop,7
main,7
diseases,7
air,7
laboratory,7
2016,7
loss,7
november,7
research,7
treating,6
118,6
area,6
level,6
gloves,6
having,6
african,6
detecting,6
ebolaviruses,6
contain,6
both,6
typically,6
control,6
products,6
outside,6
liver,6
rna,6
diagnostic,6
2003,6
parts,6
reservoir,6
second,6
three,6
similar,6
individuals,6
more,6
bushmeat,6
viruses,6
decreased,6
skin,6
village,6
four,6
travel,6
system,6
clotting,6
study,5
tracing,5
positive,5
liberia,5
trained,5
wild,5
region,5
certain,5
cause,5
recovered,5
around,5
quickly,5
monkeys,5
begin,5
public,5
declared,5
see,5
uganda,5
before,5
texas,5
showing,5
considered,5
further,5
general,5
testing,5
potential,5
filoviruses,5
initial,5
well,5
near,5
test,5
concluded,5
factor,5
type,5
glycoprotein,5
centers,5
restv,5
possible,5
levels,5
wearing,5
against,5
appear,5
months,5
vaccine,5
production,4
treated,4
sudv,4
muscular,4
structural,4
largest,4
returned,4
1995,4
eyes,4
methods,4
within,4
biosafety,4
date,4
following,4
contaminated,4
receptors,4
release,4
factors,4
out,4
food,4
year,4
2002,4
article,4
observed,4
illness,4
genomes,4
six,4
white,4
neighboring,4
bundibugyo,4
gorillas,4
replication,4
endothelial,4
june,4
results,4
coagulation,4
along,4
eye,4
prevent,4
longer,4
macrophages,4
airborne,4
evidence,4
period,4
bodies,4
five,4
result,4
genome,4
