word,frequency
influenza,50
flu,48
h1n1,41
swine,29
virus,26
pandemic,23
outbreak,23
2009,18
disease,12
infected,12
pigs,11
caused,11
human,11
health,11
viruses,10
edit,10
people,10
found,9
strain,9
confirmed,9
due,8
cases,8
reported,8
strains,7
spanish,7
1918,7
deaths,6
2017,6
infection,6
maldives,6
world,6
spread,6
worldwide,6
cause,6
severe,5
novel,5
those,5
humans,5
states,5
number,5
zanamivir,5
type,5
known,5
oseltamivir,5
pregnant,5
similar,5
genetic,5
illness,5
organization,5
died,4
showed,4
myanmar,4
common,4
2010,4
main,4
mexico,4
united,4
fort,4
american,4
new,4
during,4
declared,4
one,4
2015,4
neuraminidase,4
pulmonary,4
risk,4
over,4
death,4
countries,4
dix,4
article,4
russian,4
embolic,3
women,3
saudi,3
issued,3
subtypes,3
such,3
cells,3
more,3
see,3
2014,3
laboratory,3
early,3
days,3
response,3
vaccination,3
subtype,3
october,3
cdc,3
changes,3
animal,3
very,3
causing,3
identified,3
tested,3
immune,3
embolism,3
adults,3
patients,3
help,3
killed,3
transmission,3
samples,3
including,3
control,3
april,3
respiratory,3
seasonal,3
lung,3
taken,3
resistance,3
four,3
system,3
india,3
small,3
study,3
young,3
north,3
later,2
via,2
effects,2
unknown,2
increased,2
incidents,2
unusually,2
national,2
different,2
earlier,2
isolates,2
alert,2
circulating,2
reason,2
haemagglutinin,2
going,2
external,2
soldiers,2
accommodate,2
january,2
causes,2
both,2
zoonotic,2
china,2
antigenic,2
blood,2
march,2
2011,2
recommended,2
overseas,2
avian,2
though,2
communities,2
called,2
conducted,2
resulting,2
sequences,2
events,2
august,2
tissue,2
president,2
pig,2
2013,2
patient,2
mexican,2
fraction,2
within,2
update,2
1978,2
two,2
populations,2
against,2
resistant,2
antiviral,2
july,2
despite,2
greater,2
vein,2
endemic,2
ili,2
none,2
genes,2
unusual,2
university,2
contrast,2
1976,2
until,2
become,2
0,2
present,2
cell,2
ministry,2
northern,2
notable,2
reports,2
time,2
viral,2
fever,2
possible,2
responsible,2
host,2
185,2
june,2
three,2
term,2
under,2
worried,2
became,2
year,2
general,2
bird,2
pregnancy,2
leading,2
territories,2
h1n2,2
developing,2
complications,2
pandemics,2
european,2
government,2
widespread,2
mostly,2
exposure,2
rumors,2
organ,1
predicted,1
diagnosis,1
previously,1
infections,1
publication,1
pesadilla,1
positive,1
still,1
total,1
214,1
zero,1
contracting,1
never,1
activity,1
schools,1
start,1
week,1
signs,1
ordered,1
many,1
sore,1
thousands,1
