Continent,Country,x,y,year,cal_case,cal_death,suspect,new_case,new_death,type
Australia,Australia,3.9,-2,2003,5,0,,0,,SARS
South America,Brazil,-2.4,-4.3,2003,1,0,,0,,SARS
North America,Canada,-4.1,-5,2003,250,38,,0,,SARS
Asia,China,6,-4.3,2003,5327,348,,0,,SARS
Asia,Singapore ,4.8,-3.5,2003,206,32,,0,,SARS
Asia,Thailand ,4.9,-4.5,2003,9,2,,0,,SARS
Europe,United Kingdom ,-0.5,0.4,2003,4,0,,0,,SARS
North America,United States,-5.6,-5.5,2003,75,0,,0,,SARS
Asia,Viet Nam,5.2,-4.2,2003,63,5,,0,,SARS
Asia,Philippines,4.8,-3.5,2003,14,2,,0,,SARS
Asia,Mongolia,6,-6,2003,9,0,,0,,SARS
Europe,France,0.6,-9.2,2003,7,2,,0,,SARS
Europe,Germany ,0.4,-9.2,2003,10,,,0,,SARS
