year,region,color,number,posx,posy,area,nmax
541-542,europe,#30FFe8,25,100,500,100000,50
1346-1350,"europe, asia & north africa",#30FFe8,75,300,450,110010,200
1519-1521,mexico,#FFD930,5,580,402,1000,8
1633-1634,us,#FFD930,20,850,450,1100,20
1663-1679,europe,#30FFe8,1,750,480,100000,1
1816-1860,asia europe russia,#eb6e6e,1,1100,425,100010,1
1860-1861,"asia (china, india, hk)",#30FFe8,12,1100,350,10000,12
1889-1890,worldwide,#8b7cf1,1,1150,480,111111,1
1899-1923,europe asia africa,#eb6e6e,1,1190,408,110010,1
1918-1920,worldwide,#8b7cf1,75,1300,409,111111,75
1957-1958,worldwide,#8b7cf1,2,1250,500,111111,2
1968-1969,worldwide,#8b7cf1,1,1350,550,111111,1
