word,frequency
sars,62
china,23
cases,19
2003,19
outbreak,18
edit,16
hong,15
kong,15
disease,14
health,12
spread,11
virus,10
symptoms,10
patients,10
syndrome,10
chinese,9
respiratory,9
world,8
first,7
pneumonia,7
reported,7
2002,7
public,7
response,7
needed,7
republic,6
hospital,6
epidemic,6
toronto,6
severe,6
organization,6
citation,6
coronavirus,6
infected,5
patient,5
control,5
guangdong,5
prevention,5
identified,5
singapore,5
global,5
november,5
information,5
system,5
acute,5
humans,4
network,4
ray,4
signs,4
contact,4
healthcare,4
alert,4
reports,4
infection,4
caused,4
case,4
february,4
major,4
diagnosis,4
laboratory,4
regions,4
time,4
people,4
same,4
countries,4
july,4
people's,4
animals,4
resulted,4
affected,4
several,4
staff,4
chest,4
canada,4
local,4
developed,3
including,3
official,3
cdc,3
hotel,3
studies,3
eventually,3
united,3
april,3
deaths,3
vietnam,3
civets,3
treatment,3
media,3
containment,3
fatality,3
areas,3
over,3
probable,3
history,3
died,3
visitors,3
around,3
fever,3
include,3
government,3
hanoi,3
province,3
despite,3
palm,3
procedures,3
viral,3
officials,3
between,3
states,3
positive,3
workers,3
fear,3
appears,3
south,3
french,3
through,3
english,3
until,3
originated,3
within,3
bats,3
community,3
identification,3
early,3
see,3
known,3
following,2
100,2
march,2
second,2
mongolia,2
vaccine,2
both,2
pressure,2
suspected,2
took,2
demonstrated,2
ontario,2
treated,2
number,2
prevent,2
russian,2
receive,2
action,2
made,2
precautions,2
country,2
icd,2
even,2
death,2
resulting,2
increased,2
society,2
due,2
culture,2
basic,2
external,2
analysis,2
considered,2
southern,2
soon,2
officially,2
foshan,2
rate,2
asian,2
late,2
markets,2
doctor,2
another,2
masked,2
region,2
january,2
taiwan,2
wild,2
authorities,2
university,2
scientists,2
international,2
spreading,2
jiang,2
0,2
later,2
report,2
contributing,2
yanyong,2
those,2
2004,2
one,2
factor,2
interventions,2
many,2
personal,2
meat,2
occurred,2
mainland,2
ability,2
end,2
diseases,2
origin,2
flu,2
taken,2
transmission,2
intelligence,2
loss,2
june,2
prognosis,2
appeared,2
macau,2
someone,2
complete,2
isolated,2
causative,2
two,2
protective,2
more,2
years,2
showing,2
development,2
coronaviruses,2
discarded,2
effective,2
centre,2
barrier,2
isolation,2
bsl,2
hospitals,2
show,2
found,2
article,2
directly,2
canada's,2
epidemiology,2
disorder,2
metropole,2
december,2
cov,2
quarantine,2
estate,2
worldwide,2
exposure,2
atmosphere,2
floor,2
american,2
specimens,2
shanxi,1
reaching,1
month,1
accidental,1
place,1
related,1
salisbury,1
widely,1
identifying,1
upgraded,1
inadequate,1
small,1
geraldton,1
preventative,1
phases,1
cooperating,1
additional,1
trip,1
woman,1
manner,1
contain,1
delays,1
results,1
federation,1
market,1
org,1
food,1
med,1
sold,1
diseasesdb,1
massbiologics,1
zoonotic,1
samples,1
defects,1
using,1
cure,1
conducted,1
inner,1
79,1
etc,1
dead,1
figures,1
storm,1
victim,1
indicative,1
risk,1
8273,1
fluids,1
event,1
air,1
cohort,1
successes,1
discharged,1
treating,1
timely,1
tape,1
stayed,1
spanish,1
ninth,1
arabic,1
kowloon,1
enable,1
infecting,1
recently,1
part,1
school,1
osteoporosis,1
emedicine,1
locations,1
lethargy,1
larger,1
earliest,1
cluster,1
h?spital,1
direct,1
earl,1
accusations,1
undercounting,1
concerned,1
human,1
change,1
ineffective,1
home,1
alarmed,1
gphin's,1
dedication,1
previous,1
children,1
east,1
32835,1
korea,1
centred,1
posttraumatic,1
oxygen,1
facilitated,1
drainage,1
months,1
combat,1
lives,1
cite,1
trying,1
poorly,1
medicines,1
outlined,1
immune,1
enforced,1
rooms,1
protocol,1
elisa,1
u04,1
