type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
EBOLA,Sierra Leone,2014,8,29,935,380,54,,
EBOLA,Sierra Leone,2014,9,24,1745,552,158,,
EBOLA,Sierra Leone,2014,10,22,3223,986,446,,
EBOLA,Sierra Leone,2014,11,21,5152,1058,959,,
EBOLA,Sierra Leone,2014,12,22,7017,2216,1700,,
EBOLA,Sierra Leone,2015,1,23,7921,2793,2192,,
EBOLA,Sierra Leone,2015,2,23,8223,3057,2645,,
EBOLA,Sierra Leone,2015,3,24,8520,3381,3034,,
EBOLA,Sierra Leone,2015,4,22,8575,3511,3405,,
EBOLA,Sierra Leone,2015,5,25,8608,3542,3801,,
EBOLA,Sierra Leone,2015,6,23,8657,3562,4115,,
EBOLA,Sierra Leone,2015,7,24,8693,3583,4284,,
EBOLA,Sierra Leone,2015,8,25,8697,3586,4557,,
EBOLA,Sierra Leone,2015,9,22,8704,3589,4832,,
EBOLA,Sierra Leone,2015,10,20,8704,3589,5010,,
EBOLA,Sierra Leone,2015,11,24,8704,3589,5131,,
