type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
EBOLA,Spain,2014,8,29,0,0,,,
EBOLA,Spain,2014,9,24,0,0,,,
EBOLA,Spain,2014,10,22,1,0,,,
EBOLA,Spain,2014,11,21,1,0,,,
EBOLA,Spain,2014,12,22,1,0,,,
EBOLA,Spain,2015,1,23,1,0,,,
EBOLA,Spain,2015,2,23,1,0,,,
EBOLA,Spain,2015,3,24,1,0,,,
EBOLA,Spain,2015,4,22,1,0,,,
EBOLA,Spain,2015,5,25,1,0,,,
EBOLA,Spain,2015,6,23,1,0,,,
EBOLA,Spain,2015,7,24,1,0,,,
EBOLA,Spain,2015,8,25,1,0,,,
EBOLA,Spain,2015,9,22,1,0,,,
EBOLA,Spain,2015,10,20,1,0,,,
EBOLA,Spain,2015,11,24,1,0,,,
