type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
EBOLA,Mali,2014,8,29,0,0,0,,
EBOLA,Mali,2014,9,24,0,0,0,,
EBOLA,Mali,2014,10,22,0,0,0,,
EBOLA,Mali,2014,11,21,5,6,0,,
EBOLA,Mali,2014,12,22,7,6,0,,
EBOLA,Mali,2015,1,23,7,6,0,,
EBOLA,Mali,2015,2,23,7,6,0,,
EBOLA,Mali,2015,3,24,7,6,0,,
EBOLA,Mali,2015,4,22,7,6,0,,
EBOLA,Mali,2015,5,25,7,6,0,,
EBOLA,Mali,2015,6,23,7,6,0,,
EBOLA,Mali,2015,7,24,7,6,0,,
EBOLA,Mali,2015,8,25,7,6,0,,
EBOLA,Mali,2015,9,22,7,6,0,,
EBOLA,Mali,2015,10,20,7,6,0,,
EBOLA,Mali,2015,11,24,7,6,0,,
