type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
SARS,United States of America,2003,3,28,51,0,,,
SARS,United States of America,2003,4,5,115,0,,,
SARS,United States of America,2003,4,12,166,0,,0,
SARS,United States of America,2003,4,19,220,0,,12,
SARS,United States of America,2003,4,28,41,0,,0,
SARS,United States of America,2003,5,5,61,0,,7,
SARS,United States of America,2003,5,12,64,0,,0,
SARS,United States of America,2003,5,19,67,0,,1,
SARS,United States of America,2003,5,26,67,0,,0,
SARS,United States of America,2003,6,2,67,0,,0,
