word,frequency
zika,84
virus,70
2016,23
fever,20
cases,18
spread,17
edit,17
mosquito,15
outbreak,14
infection,13
2015,12
reported,12
blood,11
transmission,11
countries,11
first,10
known,10
human,10
rna,10
dengue,9
vaccine,9
symptoms,8
two,8
2007,8
proteins,8
mosquitoes,8
disease,8
during,8
2014,8
africa,8
aedes,7
2013,7
women,7
genome,7
americas,7
aegypti,7
new,7
health,7
travel,6
april,6
article,6
microcephaly,6
infections,6
pregnancy,6
areas,6
related,6
french,6
asia,6
infected,6
january,6
yellow,6
brazil,6
global,5
more,5
vaccines,5
distribution,5
use,5
main,5
2017,5
islands,5
envelope,5
confirmed,5
between,5
species,5
sexual,5
america,5
isolated,5
positive,5
pregnant,5
viral,5
polynesia,4
membrane,4
one,4
study,4
asian,4
both,4
epidemic,4
evidence,4
syndrome,4
island,4
donors,4
west,4
number,4
potential,4
spondweni,4
1947,4
guillain,4
isolation,4
flaviviruses,4
until,3
active,3
see,3
samples,3
through,3
colored,3
skin,3
october,3
viruses,3
clinical,3
cells,3
period,3
november,3
uganda,3
rash,3
north,3
began,3
showed,3
micronesia,3
sense,3
caledonia,3
time,3
even,3
cdc,3
chikungunya,3
ssrna,3
tested,3
red,3
illness,3
travelers,3
found,3
albopictus,3
monkeys,3
researchers,3
research,3
experienced,3
present,3
states,3
genus,3
august,3
family,3
including,3
equatorial,3
capsid,3
monkey,3
baby,3
caused,3
nile,3
easter,3
published,3
days,3
same,3
returning,3
flaviviridae,3
still,3
suspected,3
flavivirus,3
development,3
march,3
develop,3
mild,3
issued,3
such,3
zikv,3
tourists,3
primarily,3
within,3
men,3
barr¨¦,3
risk,3
further,3
rarely,3
organization,3
estimated,3
transmitted,3
closely,3
three,3
stranded,3
humans,3
saliva,3
pathogenesis,3
1952,3
vector,3
100,2
warnings,2
purple,2
shown,2
italy,2
similar,2
paracetamol,2
japanese,2
history,2
puerto,2
africanus,2
due,2
enzootic,2
lineage,2
structural,2
brain,2
week,2
caribbean,2
malformations,2
dominican,2
suggests,2
protein,2
urban,2
along,2
treatment,2
bites,2
ziika,2
mosquitos,2
several,2
group,2
predicted,2
forest,2
deaths,2
seven,2
current,2
help,2
daytime,2
unknown,2
video,2
1951,2
impact,2
followed,2
declared,2
via,2
emergency,2
samoa,2
specific,2
weeks,2
cycle,2
thought,2
infect,2
strain,2
rest,2
appears,2
causes,2
european,2
based,2
zealand,2
dna,2
concern,2
transfusion,2
adults,2
highly,2
trials,2
become,2
population,2
months,2
officials,2
united,2
sequence,2
serological,2
inactivated,2
pandemic,2
part,2
nucleocapsid,2
transfusions,2
png,2
cell,2
birth,2
prevention,2
republic,2
longer,2
circulated,2
making,2
getting,2
colombia,2
world,2
african,2
serum,2
antibodies,2
result,2
host,2
TRUE,2
outbreaks,2
vectors,2
affected,2
local,2
yap,2
include,2
occurrence,2
year,2
salvador,2
virology,2
american,2
studies,2
mosquito¡¯s,2
last,2
oceania,2
gbs,2
international,2
rico,2
six,2
over,2
encephalitis,2
fda,2
screening,2
donation,2
recommended,2
1948,2
replication,2
february,2
transmissible,2
phase,2
single,2
enveloped,2
condoms,2
cook,2
ecuador,2
occurred,2
few,2
advised,2
cause,2
acetaminophen,2
allow,1
basic,1
inoculated,1
highest,1
kilobase,1
years,1
available,1
unlikely,1
developing,1
companies,1
clade,1
madeira,1
derived,1
spillover,1
area,1
degree,1
form,1
particles,1
wikipedia,1
capable,1
lineages,1
endocytosis,1
ecological,1
linked,1
around,1
spreading,1
references,1
1992,1
hospital,1
putting,1
continents,1
belt,1
hensilli,1
rid,1
interacting,1
societal,1
hosts,1
bloodstream,1
paraguay,1
extrinsic,1
expanding,1
forms,1
inner,1
carrier,1
togavirus,1
electron,1
precautions,1
severe,1
depends,1
drug,1
honduras,1
administration,1
lay,1
encapsulates,1
high,1
viremic,1
digitally,1
polynesian,1
now,1
deferring,1
101,1
greater,1
keratinocytes,1
links,1
clothing,1
transmit,1
conclude,1
webm,1
decreasing,1
person,1
named,1
barbados,1
infects,1
generally,1
vertical,1
headache,1
northern,1
pain,1
explanation,1
joint,1
sea,1
allowing,1
june,1
incubation,1
reports,1
external,1
usually,1
vittatus,1
micrograph,1
occasional,1
eastward,1
contact,1
nuclei,1
non,1
mansonia,1
jamaica,1
symptomatic,1
culex,1
glycoprotein,1
institute,1
cytoplasm,1
transcription,1
rapid,1
composed,1
guiana,1
midgut,1
prevented,1
considering,1
salivary,1
recorded,1
involves,1
encyclopedia,1
trade,1
temperature,1
primary,1
showing,1
vertebrate,1
outer,1
never,1
rhesus,1
molecular,1
?z?k?,1
map,1
eggs,1
5ire,1
consider,1
admission,1
postponing,1
1950s,1
entry,1
granted,1
concomitant,1
approval,1
trial,1
involve,1
genomes,1
approved,1
comes,1
follow,1
glycoproteins,1
consists,1
though,1
small,1
copies,1
circular,1
gland,1
piece,1
icosahedral,1
plasmid,1
food,1
expresses,1
globally,1
genes,1
delivery,1
contain,1
genotypes,1
full,1
eleven,1
center,1
territories,1
subunit,1
semen,1
chain,1
climate,1
bolivia,1
defects,1
member,1
newly,1
necessary,1
postpone,1
although,1
precipitation,1
luteocephalus,1
double,1
patient,1
recent,1
chains,1
osmosis,1
called,1
maculopapular,1
hypothesized,1
pronounced,1
continue,1
country,1
lymph,1
provide,1
nodes,1
sized,1
1385,1
attention,1
guyana,1
file,1
covering,1
initiate,1
urine,1
panama,1
mexico,1
changes,1
pan,1
latin,1
directly,1
narrow,1
infectious,1
priority,1
epithelial,1
identical,1
